TITLE,RELEASED,IMDB__RATING,IMDB__VOTES,GENRES,partition_date
Bellflower,2012-03-20 17:00:00-07:00,6.4,6557.0,Romance,2012-03-01
Beduin,2012-03-14 17:00:00-07:00,6.6,176.0,Biography,2012-03-01
21 Jump Street,2012-03-15 17:00:00-07:00,7.2,369346.0,Action,2012-03-01
Nightfall,2012-03-14 17:00:00-07:00,6.5,811.0,Thriller,2012-03-01
21 Jump Street,2012-03-15 17:00:00-07:00,7.2,369346.0,Crime,2012-03-01
John Carter,2012-03-08 16:00:00-08:00,6.6,198544.0,Adventure,2012-03-01
Berserk: The Golden Age Arc I - The Egg of the King,2012-04-25 17:00:00-07:00,7.7,4173.0,Animation,2012-04-01
Safe,2012-04-26 17:00:00-07:00,6.5,75430.0,Crime,2012-04-01
My Way,2012-04-19 17:00:00-07:00,7.8,6121.0,History,2012-04-01
Touchback,2012-04-12 17:00:00-07:00,6.5,2875.0,Family,2012-04-01
My Way,2012-04-19 17:00:00-07:00,7.8,6121.0,Drama,2012-04-01
My Way,2012-04-19 17:00:00-07:00,7.8,6121.0,Action,2012-04-01
Berserk: The Golden Age Arc I - The Egg of the King,2012-04-25 17:00:00-07:00,7.7,4173.0,Adventure,2012-04-01
Good for Nothing,2012-04-30 17:00:00-07:00,5.9,600.0,Western,2012-04-01
The Raid: Redemption,2012-04-12 17:00:00-07:00,7.6,135585.0,Thriller,2012-04-01
Super Demetrios,2012-04-18 17:00:00-07:00,6.5,204.0,Comedy,2012-04-01
Lockout,2012-04-12 17:00:00-07:00,6.1,77616.0,Sci-Fi,2012-04-01
Touchback,2012-04-12 17:00:00-07:00,6.5,2875.0,Fantasy,2012-04-01
The Avengers,2012-05-03 17:00:00-07:00,8.1,877226.0,Sci-Fi,2012-05-01
Casa de mi Padre,2012-05-10 17:00:00-07:00,5.5,16277.0,Western,2012-05-01
USS Seaviper,2012-05-27 17:00:00-07:00,2.5,769.0,War,2012-05-01
Gabbar Singh,2012-05-10 17:00:00-07:00,7.2,3564.0,Comedy,2012-05-01
The Avengers,2012-05-03 17:00:00-07:00,8.1,877226.0,Action,2012-05-01
Abiogenesis,2012-05-25 17:00:00-07:00,6.7,187.0,Short,2012-05-01
Abiogenesis,2012-05-25 17:00:00-07:00,6.7,187.0,Animation,2012-05-01
Jesse Stone: Benefit of the Doubt,2012-05-19 17:00:00-07:00,7.0,1451.0,Drama,2012-05-01
Born to Hate... Destined to Love,2012-05-10 17:00:00-07:00,6.6,4174.0,Romance,2012-05-01
White Tiger,2012-05-02 17:00:00-07:00,6.0,1561.0,Fantasy,2012-05-01
Jesse Stone: Benefit of the Doubt,2012-05-19 17:00:00-07:00,7.0,1451.0,Crime,2012-05-01
ReGeneration,2012-05-03 17:00:00-07:00,6.9,189.0,Biography,2012-05-01
ReGeneration,2012-05-03 17:00:00-07:00,6.9,189.0,Documentary,2012-05-01
The Avengers,2012-05-03 17:00:00-07:00,8.1,877226.0,Adventure,2012-05-01
Motorway,2012-06-20 17:00:00-07:00,6.0,1279.0,Crime,2012-06-01
The Girl from the Naked Eye,2012-06-14 17:00:00-07:00,4.9,1638.0,Mystery,2012-06-01
Berserk: The Golden Age Arc II - The Battle for Doldrey,2012-06-22 17:00:00-07:00,7.9,3062.0,Action,2012-06-01
Motorway,2012-06-20 17:00:00-07:00,6.0,1279.0,Drama,2012-06-01
Hannah's Law,2012-06-08 17:00:00-07:00,5.0,279.0,Western,2012-06-01
Abraham Lincoln: Vampire Hunter,2012-06-21 17:00:00-07:00,6.0,120531.0,Horror,2012-06-01
Ted,2012-06-28 17:00:00-07:00,7.0,431826.0,Fantasy,2012-06-01
Berserk: The Golden Age Arc II - The Battle for Doldrey,2012-06-22 17:00:00-07:00,7.9,3062.0,Animation,2012-06-01
Tumult,2012-06-29 17:00:00-07:00,7.2,99.0,Comedy,2012-06-01
Berserk: The Golden Age Arc II - The Battle for Doldrey,2012-06-22 17:00:00-07:00,7.9,3062.0,Adventure,2012-06-01
Tumult,2012-06-29 17:00:00-07:00,7.2,99.0,Short,2012-06-01
Road to Ninja: Naruto the Movie,2012-07-27 17:00:00-07:00,7.8,2251.0,Adventure,2012-07-01
The Dark Knight Rises,2012-07-19 17:00:00-07:00,8.5,1004805.0,Thriller,2012-07-01
Eega,2012-07-04 17:00:00-07:00,8.0,10145.0,Drama,2012-07-01
Eega,2012-07-04 17:00:00-07:00,8.0,10145.0,Fantasy,2012-07-01
Starship Troopers: Invasion,2012-07-20 17:00:00-07:00,5.9,8095.0,Sci-Fi,2012-07-01
The Dark Knight Rises,2012-07-19 17:00:00-07:00,8.5,1004805.0,Action,2012-07-01
Eega,2012-07-04 17:00:00-07:00,8.0,10145.0,Comedy,2012-07-01
Road to Ninja: Naruto the Movie,2012-07-27 17:00:00-07:00,7.8,2251.0,Animation,2012-07-01
Gangs of Wasseypur,2012-08-01 17:00:00-07:00,8.4,35127.0,Crime,2012-08-01
Rurouni Kenshin,2012-08-24 17:00:00-07:00,7.6,13310.0,History,2012-08-01
Gangs of Wasseypur,2012-08-01 17:00:00-07:00,8.4,35127.0,Drama,2012-08-01
Secret of the Wings,2012-08-15 17:00:00-07:00,7.2,7032.0,Fantasy,2012-08-01
The Bourne Legacy,2012-08-09 17:00:00-07:00,6.7,209943.0,Mystery,2012-08-01
Julayi,2012-08-08 17:00:00-07:00,7.1,2151.0,Comedy,2012-08-01
The Bourne Legacy,2012-08-09 17:00:00-07:00,6.7,209943.0,Adventure,2012-08-01
Secret of the Wings,2012-08-15 17:00:00-07:00,7.2,7032.0,Animation,2012-08-01
Gangs of Wasseypur,2012-08-01 17:00:00-07:00,8.4,35127.0,Action,2012-08-01
The Expendables 2,2012-08-16 17:00:00-07:00,6.7,229360.0,Thriller,2012-08-01
Secret of the Wings,2012-08-15 17:00:00-07:00,7.2,7032.0,Family,2012-08-01
Hit and Run,2012-08-21 17:00:00-07:00,6.1,27833.0,Romance,2012-08-01
"Batman: The Dark Knight Returns, Part 1",2012-09-24 17:00:00-07:00,8.0,28619.0,Animation,2012-09-01
"Batman: The Dark Knight Returns, Part 1",2012-09-24 17:00:00-07:00,8.0,28619.0,Action,2012-09-01
Resident Evil: Retribution,2012-09-13 17:00:00-07:00,5.4,96693.0,Horror,2012-09-01
Ruby Sparks,2012-09-05 17:00:00-07:00,7.2,71979.0,Comedy,2012-09-01
"Batman: The Dark Knight Returns, Part 1",2012-09-24 17:00:00-07:00,8.0,28619.0,Crime,2012-09-01
Snow White,2012-09-27 17:00:00-07:00,7.5,7074.0,Drama,2012-09-01
Escape,2012-09-27 17:00:00-07:00,6.1,2555.0,History,2012-09-01
Crowsnest,2012-09-06 17:00:00-07:00,3.8,1111.0,Mystery,2012-09-01
Death of a Shadow,2012-09-09 17:00:00-07:00,7.2,1252.0,Short,2012-09-01
Erased,2012-09-25 17:00:00-07:00,6.1,21803.0,Thriller,2012-09-01
Snow White,2012-09-27 17:00:00-07:00,7.5,7074.0,Fantasy,2012-09-01
Looper,2012-09-27 17:00:00-07:00,7.5,390933.0,Sci-Fi,2012-09-01
Beyond Outrage,2012-10-05 17:00:00-07:00,6.8,3202.0,Crime,2012-10-01
009 Re: Cyborg,2012-10-26 17:00:00-07:00,5.9,259.0,Sci-Fi,2012-10-01
Rommel,2012-10-31 17:00:00-07:00,6.4,1010.0,Biography,2012-10-01
Taken 2,2012-10-04 17:00:00-07:00,6.3,216651.0,Thriller,2012-10-01
009 Re: Cyborg,2012-10-26 17:00:00-07:00,5.9,259.0,Animation,2012-10-01
Mockingbird Lane,2012-10-25 17:00:00-07:00,7.6,3418.0,Comedy,2012-10-01
Beyond Outrage,2012-10-05 17:00:00-07:00,6.8,3202.0,Action,2012-10-01
